col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,area_code_408,area_code_415,area_code_510
0,0,0,0,1,0,0,0,0.5120772946859904,0,1,0.65,0.4367697594501718,0.7211538461538461,0.4368048533872598,0.4846693756926487,0.5233644859813084,0.4845719252498914,0.702407825432656,0.5327102803738317,0.7023411371237457,0.7482014388489209,0.3,0.7493333333333334,0.3333333333333333,0.0,1.0,0.0
0,1,0,0,0,0,0,0,0.6570048309178744,0,0,0.0,0.7178694158075601,0.6346153846153846,0.7180990899898888,0.21019578869597344,0.5887850467289719,0.20990873533246418,0.3570353649360421,0.5420560747663551,0.3570234113712375,0.6402877697841727,0.5,0.64,0.0,0.0,1.0,0.0
0,0,0,0,1,0,0,0,0.40096618357487923,1,0,0.0,0.9103092783505153,0.22115384615384615,0.9106167846309403,0.5038788326560768,0.38317757009345793,0.5036940460669274,0.48607975921745666,0.40186915887850466,0.4857859531772575,0.23741007194244607,0.7,0.23733333333333337,0.6666666666666666,1.0,0.0,0.0
0,0,0,0,1,0,0,0,0.357487922705314,1,0,0.0,0.45429553264604805,0.625,0.45439838220424666,0.3103066124861471,0.7009345794392523,0.3102998696219035,0.44845748683220465,0.7009345794392523,0.44816053511705684,0.4892086330935252,0.3,0.4906666666666667,1.0,0.0,1.0,0.0
0,0,0,0,1,0,0,0,0.5797101449275363,0,1,0.6,0.6312714776632302,0.38461538461538464,0.6313447927199192,0.5038788326560768,0.5700934579439252,0.5036940460669274,0.5451467268623024,0.6728971962616822,0.5451505016722408,0.30215827338129503,0.7,0.30399999999999994,1.0,0.0,0.0,1.0
0,1,0,0,0,0,0,0,0.7053140096618358,1,0,0.0,0.4209621993127148,0.2980769230769231,0.4210313447927199,0.14333210195788695,0.4392523364485981,0.14298131247283788,0.5421369450714824,0.4672897196261682,0.5418060200668896,0.2733812949640288,0.6,0.27466666666666667,0.0,0.0,1.0,0.0
0,1,0,0,0,0,0,0,0.5603864734299517,0,0,0.0,0.5154639175257731,0.47115384615384615,0.5156723963599595,0.5038788326560768,0.308411214953271,0.5036940460669274,0.5571858540255832,0.411214953271028,0.55685618729097,0.38848920863309355,0.4,0.38933333333333336,0.3333333333333333,1.0,0.0,0.0
0,0,0,0,0,0,1,0,0.6763285024154589,1,1,0.925,0.7701030927835052,0.34615384615384615,0.7702730030333671,0.5825637236793498,0.5981308411214953,0.5823554976097349,0.973288186606471,0.4766355140186916,0.9732441471571907,0.5683453237410072,0.5,0.5680000000000001,0.0,0.0,1.0,0.0
0,0,0,1,0,0,0,0,0.30917874396135264,0,0,0.0,0.3250859106529209,0.8557692307692307,0.32517694641051564,0.606575544883635,0.3364485981308411,0.6062581486310301,0.5308502633559068,0.6074766355140186,0.5309364548494984,0.6762589928057554,0.6,0.6773333333333335,0.3333333333333333,0.0,1.0,0.0
0,0,1,0,0,0,0,0,0.3526570048309179,0,0,0.0,0.5264604810996563,0.7596153846153846,0.526592517694641,0.36608792020687114,0.9439252336448598,0.3659278574532812,0.4826937547027841,0.4485981308411215,0.48244147157190637,0.4172661870503597,0.5,0.4186666666666667,0.0,0.0,1.0,0.0
0,0,0,0,0,0,0,1,0.8067632850241546,0,0,0.0,0.32405498281786943,0.46153846153846156,0.3241658240647118,0.14998152936830444,0.22429906542056074,0.1499348109517601,0.27614747930775013,0.7663551401869159,0.27591973244147155,0.5683453237410072,0.2,0.5680000000000001,0.3333333333333333,1.0,0.0,0.0
0,0,1,0,0,0,0,0,0.45410628019323673,0,0,0.0,0.4195876288659794,0.38461538461538464,0.4196157735085945,0.6771333579608423,0.2616822429906542,0.67709691438505,0.4687735139202408,0.6448598130841121,0.4682274247491639,0.6474820143884893,0.5,0.648,1.0,0.0,0.0,1.0
1,0,0,0,0,0,0,0,0.7729468599033816,0,0,0.0,0.5016323024054983,0.18269230769230768,0.5018200202224469,0.9364610269671223,0.4672897196261682,0.9361147327249023,0.3495109104589917,0.7663551401869159,0.34949832775919737,0.15107913669064754,0.9,0.152,0.3333333333333333,0.0,1.0,0.0
1,0,0,0,0,0,0,0,0.4057971014492754,0,1,0.675,0.5563573883161512,0.875,0.5565217391304348,0.8001477650535648,0.40186915887850466,0.8000869187309865,0.08126410835214444,0.27102803738317754,0.08110367892976586,0.7553956834532375,0.4,0.7573333333333334,0.3333333333333333,1.0,0.0,0.0
1,0,0,0,0,0,0,0,0.36231884057971014,0,1,0.825,0.5333333333333333,0.17307692307692307,0.5334681496461071,0.5485777613594385,0.16822429906542055,0.5484571925249891,0.36869826937547023,0.5794392523364486,0.36872909698996653,0.4820143884892087,0.5,0.48266666666666674,0.3333333333333333,0.0,0.0,1.0
0,1,0,0,0,0,0,0,0.34782608695652173,0,0,0.0,0.6525773195876289,0.40384615384615385,0.6527805864509606,0.35168082748429996,0.38317757009345793,0.3515862668405041,0.4706546275395034,0.2616822429906542,0.4707357859531772,0.697841726618705,0.2,0.6986666666666667,0.3333333333333333,0.0,1.0,0.0
0,0,0,1,0,0,0,0,0.7053140096618358,0,0,0.0,0.4144329896907216,0.6634615384615384,0.41456016177957533,0.6479497598817879,0.42990654205607476,0.6475445458496306,0.5308502633559068,0.8130841121495327,0.5309364548494984,0.525179856115108,0.4,0.5253333333333333,0.0,0.0,1.0,0.0
1,0,0,0,0,0,0,0,0.3671497584541063,0,0,0.0,0.0958762886597938,0.3942307692307692,0.09585439838220423,0.39009974141115633,0.6915887850467289,0.3898305084745762,0.5338600451467268,0.16822429906542055,0.5334448160535117,0.17266187050359716,0.6,0.17333333333333337,0.3333333333333333,1.0,0.0,0.0
0,0,0,0,0,0,1,0,0.6231884057971014,0,0,0.0,0.5103092783505154,0.6153846153846154,0.5104145601617796,0.0317694865164389,0.48598130841121495,0.03172533681008259,0.4292701279157261,0.29906542056074764,0.42892976588628756,0.44604316546762596,0.4,0.44799999999999995,0.0,0.0,1.0,0.0
0,0,0,0,0,1,0,0,0.5314009661835749,0,0,0.0,0.26082474226804125,0.5288461538461539,0.26086956521739124,0.2696712227558183,0.514018691588785,0.2694480660582355,0.4586155003762227,0.5514018691588785,0.4581939799331103,0.3165467625899281,0.6,0.31733333333333336,0.6666666666666666,0.0,1.0,0.0
1,0,0,0,0,0,0,0,0.6328502415458938,0,0,0.0,0.16013745704467353,0.36538461538461536,0.1601617795753286,0.6682674547469523,0.2336448598130841,0.6679704476314646,0.6369450714823175,0.6448598130841121,0.6371237458193979,0.5035971223021584,0.2,0.504,0.0,0.0,0.0,1.0
0,0,0,1,0,0,0,0,0.27053140096618356,0,1,0.975,0.6134020618556701,0.6442307692307693,0.6135490394337715,0.4684152198005172,0.6074766355140186,0.46805736636245104,0.43265613243039874,0.6448598130841121,0.43227424749163884,0.44604316546762596,0.3,0.44799999999999995,0.0,1.0,0.0,0.0
0,0,1,0,0,0,0,0,0.2560386473429952,0,0,0.0,0.34295532646048116,0.2403846153846154,0.3429726996966632,0.3369043221278168,0.4953271028037383,0.33681008257279443,0.12942061700526708,0.205607476635514,0.12876254180602006,0.8201438848920863,0.4,0.8213333333333335,1.0,1.0,0.0,0.0
